Base Case
RunNumber, numStaffA, numStaffB, dispMeth: numBasicSrv, numBasicLW, BasicSL; numPremiumSrv, numPremiumLW, PremiumSL; numType1and2Srv, numType1and2LW, Type1and2SL; numType3and4Srv, numType3and4LW, Type3and4SL; OverallSL; overtmStaffA, overtmStaffB; CostEstimate
14, 9, 12, EQUAL_PRIORITY: 1814, 1814, 0.0; 4174, 4174, 0.0; 3862, 3862, 0.0; 2126, 2126, 0.0; 0.0; 3850.1655125178513, 26145.06891598404; 7231.650076714768
15, 9, 12, EQUAL_PRIORITY: 1845, 1845, 0.0; 4213, 4213, 0.0; 3947, 3947, 0.0; 2111, 2111, 0.0; 0.0; 3877.645612825305, 26615.9548392329; 7243.567222822623
16, 9, 12, EQUAL_PRIORITY: 1839, 1839, 0.0; 4186, 4186, 0.0; 3877, 3877, 0.0; 2148, 2148, 0.0; 0.0; 4649.856506489552, 27136.177930147867; 7268.214026371899
17, 9, 12, EQUAL_PRIORITY: 1841, 1841, 0.0; 4217, 4217, 0.0; 3915, 3915, 0.0; 2143, 2143, 0.0; 0.0; 3760.48080168241, 26926.439644100712; 7249.331265626114
18, 9, 12, EQUAL_PRIORITY: 1733, 1733, 0.0; 4283, 4283, 0.0; 3873, 3873, 0.0; 2143, 2143, 0.0; 0.0; 3925.9236829461297, 27856.177442717133; 7274.581720778572
19, 9, 12, EQUAL_PRIORITY: 1789, 1789, 0.0; 4222, 4222, 0.0; 3878, 3878, 0.0; 2133, 2133, 0.0; 0.0; 3335.334155340868, 26286.06734158912; 7227.123481573819
20, 9, 12, EQUAL_PRIORITY: 1872, 1872, 0.0; 4144, 4144, 0.0; 3841, 3841, 0.0; 2175, 2175, 0.0; 0.0; 4562.118039610228, 26452.256102389772; 7250.165219778481
21, 9, 12, EQUAL_PRIORITY: 1731, 1731, 0.0; 4213, 4213, 0.0; 3781, 3781, 0.0; 2163, 2163, 0.0; 0.0; 3440.9543032037764, 24983.45481925267; 7196.968130638486
22, 9, 12, EQUAL_PRIORITY: 1792, 1792, 0.0; 4216, 4216, 0.0; 3891, 3891, 0.0; 2117, 2117, 0.0; 0.0; 3649.103479767742, 24600.827556762655; 7190.851559703113
23, 9, 12, EQUAL_PRIORITY: 1897, 1897, 0.0; 4113, 4113, 0.0; 3866, 3866, 0.0; 2144, 2144, 0.0; 0.0; 4537.726755724856, 26336.529594186257; 7246.963457744335
24, 9, 12, EQUAL_PRIORITY: 1781, 1781, 0.0; 4249, 4249, 0.0; 3915, 3915, 0.0; 2115, 2115, 0.0; 0.0; 4944.622860885924, 26218.578541132272; 7250.38209200563
25, 9, 12, EQUAL_PRIORITY: 1801, 1801, 0.0; 4173, 4173, 0.0; 3821, 3821, 0.0; 2153, 2153, 0.0; 0.0; 3981.90752071263, 23041.56435250597; 7157.948651185282
26, 9, 12, EQUAL_PRIORITY: 1838, 1838, 0.0; 4183, 4183, 0.0; 3877, 3877, 0.0; 2144, 2144, 0.0; 0.0; 3695.644359441896, 24847.857424220085; 7197.600540320544
