Base Case
RunNumber, numStaffA, numStaffB, dispMeth: numBasicSrv, numBasicLW, BasicSL; numPremiumSrv, numPremiumLW, PremiumSL; numType1and2Srv, numType1and2LW, Type1and2SL; numType3and4Srv, numType3and4LW, Type3and4SL; OverallSL; overtmStaffA, overtmStaffB; CostEstimate
24, 9, 10, EQUAL_PRIORITY: 3361, 3184, 0.0526628979470396; 7701, 7661, 0.005194130632385385; 7343, 7158, 0.025194062372327353; 3719, 3687, 0.008604463565474618; 0.01961670583981201; 8230.52890972444, 46344.66807636131; 6425.203911542752
25, 9, 10, EQUAL_PRIORITY: 3328, 3159, 0.05078125; 7747, 7711, 0.0046469601135923355; 7343, 7173, 0.023151300558354904; 3732, 3697, 0.00937834941050375; 0.018510158013544054; 8094.915894172017, 43689.25316602669; 6391.752140790347
26, 9, 10, EQUAL_PRIORITY: 3385, 3213, 0.050812407680945304; 7685, 7626, 0.007677293428757337; 7339, 7142, 0.02684289412726526; 3731, 3697, 0.009112838381131083; 0.02086720867208669; 8380.174062138982, 43604.91512135967; 6392.930370711714
27, 9, 10, EQUAL_PRIORITY: 3384, 3214, 0.05023640661938533; 7672, 7637, 0.0045620437956204185; 7344, 7174, 0.02314814814814814; 3712, 3677, 0.009428879310344862; 0.018541968162083977; 7842.982041503667, 45962.61183317025; 6417.543041142582
28, 9, 10, EQUAL_PRIORITY: 3428, 3203, 0.06563593932322054; 7568, 7530, 0.005021141649048655; 7289, 7083, 0.028261764302373482; 3707, 3650, 0.01537631507957915; 0.0239177882866497; 10035.99236230378, 44503.41161319501; 6416.707046893123
29, 9, 10, EQUAL_PRIORITY: 3409, 3251, 0.04634790261073629; 7621, 7579, 0.0055110877837554195; 7353, 7191, 0.022031823745410017; 3677, 3639, 0.010334511830296433; 0.018132366273798772; 9967.035990746994, 45129.999331393265; 6423.819317960281
30, 9, 10, EQUAL_PRIORITY: 3459, 3275, 0.05319456490315122; 7634, 7574, 0.007859575582918499; 7377, 7176, 0.027246848312322047; 3716, 3673, 0.011571582346609266; 0.02199585324078246; 7718.4233207512125, 44332.24317488779; 6396.68481443748
1, 9, 11, EQUAL_PRIORITY: 3507, 3258, 0.07100085543199319; 7991, 7891, 0.012514078338130452; 7424, 7141, 0.038119612068965525; 4074, 4008, 0.016200294550810068; 0.030353104887806626; 8684.06293167816, 49266.44900450665; 6833.366084942978
2, 9, 11, EQUAL_PRIORITY: 3536, 3265, 0.07664027149321262; 7971, 7930, 0.005143645715719458; 7490, 7228, 0.03497997329773028; 4017, 3967, 0.012447099825740549; 0.02711393065090817; 8067.91743421109, 49705.73009084342; 6833.958567563711
3, 9, 11, EQUAL_PRIORITY: 3370, 3206, 0.04866468842729965; 8072, 8024, 0.00594648166501488; 7418, 7245, 0.023321650040442177; 4024, 3985, 0.009691848906560607; 0.01852822933053666; 8239.84914685889, 46747.29367482038; 6799.189023358918
4, 9, 11, EQUAL_PRIORITY: 3525, 3335, 0.05390070921985812; 7982, 7943, 0.004885993485342022; 7516, 7334, 0.024215007982969716; 3991, 3944, 0.011776497118516693; 0.019900929868775563; 8232.572382721097, 48700.57088302079; 6822.96734766506
5, 9, 11, EQUAL_PRIORITY: 3534, 3312, 0.06281833616298815; 7996, 7933, 0.007878939469734836; 7536, 7301, 0.031183651804670864; 3994, 3944, 0.012518778167250888; 0.02471812662619255; 9096.166606164003, 49240.005004276216; 6836.232302659401
6, 9, 11, EQUAL_PRIORITY: 3478, 3278, 0.0575043128234618; 7961, 7912, 0.0061550056525562225; 7362, 7163, 0.027030698179842383; 4077, 4027, 0.012263919548687774; 0.021767637031208986; 8814.362221341655, 47943.1008282753; 6818.226354676836
7, 9, 11, EQUAL_PRIORITY: 3515, 3277, 0.06770981507823615; 8019, 7976, 0.005362264621523893; 7525, 7304, 0.02936877076411959; 4009, 3949, 0.014966325767024169; 0.02436275359805795; 7738.8896314423, 46213.13910925193; 6788.794593421675
8, 9, 11, EQUAL_PRIORITY: 3469, 3239, 0.06630152781781495; 8055, 7935, 0.014897579143389184; 7429, 7157, 0.03661327231121281; 4095, 4017, 0.01904761904761909; 0.03037139881985418; 7736.181208502374, 48176.930530087426; 6812.736566415073
9, 9, 11, EQUAL_PRIORITY: 3354, 3158, 0.058437686344663065; 8112, 8023, 0.010971400394477304; 7392, 7180, 0.02867965367965364; 4074, 4001, 0.017918507609229306; 0.024856096284667673; 10115.718311962544, 49987.05419651412; 6853.237469692888
10, 9, 11, EQUAL_PRIORITY: 3556, 3331, 0.063273340832396; 7981, 7932, 0.006139581506076963; 7536, 7319, 0.02879511677282376; 4001, 3944, 0.014246438390402405; 0.02374967495882807; 7881.687335091863, 47644.46234605189; 6807.365127053725
11, 9, 11, EQUAL_PRIORITY: 3450, 3285, 0.047826086956521685; 7984, 7930, 0.006763527054108209; 7381, 7216, 0.02235469448584204; 4053, 3999, 0.013323464100666205; 0.019153402133986308; 8915.35734031857, 47066.331194852166; 6808.309187451554
12, 9, 11, EQUAL_PRIORITY: 3450, 3253, 0.057101449275362315; 8053, 8005, 0.005960511610579866; 7499, 7300, 0.026536871582877763; 4004, 3958, 0.011488511488511488; 0.021298791619577484; 7745.509744174841, 46579.023952977754; 6793.310486732332
13, 9, 11, EQUAL_PRIORITY: 3464, 3273, 0.05513856812933027; 8026, 7959, 0.008347869424370824; 7447, 7238, 0.028064992614475592; 4043, 3994, 0.012119713084343342; 0.022454308093994735; 8562.434266439934, 46965.749651682374; 6804.350900787624
14, 9, 11, EQUAL_PRIORITY: 3445, 3277, 0.04876632801161107; 8034, 7992, 0.005227781926811059; 7450, 7295, 0.020805369127516737; 4029, 3974, 0.013651030032266087; 0.01829427650492199; 8076.446249300518, 49097.19045734303; 6826.598931914547
15, 9, 11, EQUAL_PRIORITY: 3538, 3315, 0.06302996042962128; 7995, 7892, 0.0128830519074421; 7556, 7294, 0.03467443091582845; 3977, 3913, 0.016092532059341247; 0.028266712910777758; 8921.856130191425, 48499.196917092006; 6825.843849102902
16, 9, 11, EQUAL_PRIORITY: 3550, 3345, 0.05774647887323947; 7976, 7897, 0.009904714142427329; 7476, 7256, 0.029427501337613737; 4050, 3986, 0.01580246913580252; 0.024639944473364594; 8787.540203544924, 46483.320915019045; 6800.206012740461
17, 9, 11, EQUAL_PRIORITY: 3438, 3265, 0.05031995346131468; 8036, 7998, 0.0047287207565953615; 7426, 7260, 0.022353891731753284; 4048, 4003, 0.011116600790513798; 0.01838940212654694; 7513.061057698723, 47334.880864098304; 6800.735030633392
18, 9, 11, EQUAL_PRIORITY: 3367, 3137, 0.06831006831006836; 8027, 7955, 0.00896972717079858; 7380, 7128, 0.034146341463414664; 4014, 3964, 0.012456402590931726; 0.02650517816394593; 8369.124753115424, 47544.68361938815; 6809.919426183308
19, 9, 11, EQUAL_PRIORITY: 3494, 3263, 0.06611333714939893; 8003, 7962, 0.005123078845432949; 7459, 7250, 0.02801984180185013; 4038, 3975, 0.015601783060921193; 0.02365834565538838; 8223.416527060905, 48575.431325681; 6821.369498231103
20, 9, 11, EQUAL_PRIORITY: 3524, 3337, 0.05306469920544832; 8046, 7972, 0.00919711657966693; 7518, 7305, 0.028332003192338417; 4052, 4004, 0.011846001974333609; 0.022558340535868582; 8464.63039302954, 50969.18846035655; 6852.445570563508
21, 9, 11, EQUAL_PRIORITY: 3489, 3301, 0.053883634279163095; 7995, 7936, 0.007379612257661039; 7429, 7233, 0.02638309328307986; 4055, 4004, 0.012577065351418004; 0.02150818530128873; 7726.438506652093, 47425.65963548141; 6803.493882805861
22, 9, 11, EQUAL_PRIORITY: 3402, 3204, 0.05820105820105825; 8060, 8025, 0.004342431761786614; 7428, 7240, 0.025309639203015655; 4034, 3989, 0.01115518096182444; 0.020328040481591314; 8375.873135984097, 48694.12352368174; 6823.997549406708
23, 9, 11, EQUAL_PRIORITY: 3529, 3368, 0.045621989232077054; 7948, 7868, 0.010065425264217387; 7477, 7276, 0.02688243948107527; 4000, 3960, 0.010000000000000009; 0.020998518776683794; 8571.554743077884, 49273.69423157897; 6832.583894885346
24, 9, 11, EQUAL_PRIORITY: 3468, 3268, 0.05767012687427908; 8068, 8005, 0.007808626673277197; 7552, 7336, 0.028601694915254217; 3984, 3937, 0.011797188755020116; 0.022798196948682348; 8369.828420775286, 48031.19134057593; 6815.861423780884
25, 9, 11, EQUAL_PRIORITY: 3454, 3265, 0.054719166184134305; 8080, 8040, 0.004950495049504955; 7485, 7296, 0.02525050100200399; 4049, 4009, 0.009878982464806119; 0.019854343679556075; 11437.234529733596, 49810.73396985739; 6861.311961469412
